song,artist,20241105,20241029,20241022,20241015,20241008,20241001,20240924,20240917,20240910,20240903,20240827,20240823,20240820,20240813,20240806,20240730,20240723,20240716,20240709,20240702,20240625,20240618,20240616,20240611,20240604,20240521,20240519,20240514,20240507,20240430,20240416,20240414,20240409,20240402,20240325,20240319,20240312,20240310,20240305,20240227,20240220,20240213,20240206,20240204,20240130,20240123,20240116,20240109,20240102,20231219,20231212,20231210,20231205,20231128,20231121,20231114,20231107,20231031,20231024,20231017,20231010,20231003,20230926,20230919,20230912,20230905,20230829,20230822,20230815,20230808,20230801,20230725,20230718,20230711,20230704,20230627,20230620,20230613,20230606,20230530,20230523,20230516,20230509,20230502,20230425,20230418,20230411,20230404,20230328,20230321,20230314,20230307,20230228,20230221,20230214,20230207,20230131,20230124,20230117,20230110,20230103,20221227,20221220,20221213,20221206,20221129,20221122,20221115,20221108,20221101,20221025,20221018,20221011,20221004,20220927,20220920,20220913,20220906,20220830,20220823,20220419
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,,23.0,24.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(You're the) Devil in Disguise,Elvis Presley,,,3.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,14.0,,,,,,,,,,
9 to 5,Dolly Parton,,,,,,,,,,,,,,,,,,9.0,13.0,,7.0,,,,15.0,,,,,,,,,,,,25.0,,,,,,12.0,,,,,11.0,,,,,,,,,,,,,21.0,,,,,,12.0,,,,,,,,19.0,,,20.0,,11.0,,,13.0,15.0,,,,7.0,6.0,,,,8.0,,,18.0,,,,,,,13.5,,,,,,14.5,,14.0,13.5,,,,,,,13.0,,
99 Luftballons,Nena,7.0,,7.0,,,6.0,,,,,,,,,,14.0,13.0,6.0,5.0,,,12.0,,13.0,,24.0,10.0,18.0,,,19.0,,,8.0,,12.0,,,,,12.0,,,,,,,12.0,11.0,16.0,,,,,,,5.0,,8.0,13.0,,,,,,,,,,,,,25.0,16.0,,,,,17.0,,,,,,,,23.0,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Ghost,Travis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,
A Horse With No Name,America,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Little Respect,Erasure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Million Dreams,Ziv Zaifman/Hugh Jackman/Michelle Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accidentally in Love,Counting Crows,,,,,,,,,,23.0,,,,,22.0,,25.0,10.0,,,,,15.0,18.0,,,,6.0,,,,,,17.0,,22.0,,1.0,1.0,,,4.0,,21.0,,,,2.0,,,,,,,,5.0,,,,,,15.0,,,,,,,,,,,,1.0,,,,22.0,,,,,,,,4.0,1.0,,,,,,,,,,,,14.5,,,,,,,14.5,,,,,,,,,,,17.0,,13.0,,
