song,artist,year,type,gender,duration,language,tabber,source,date,difficulty,specialbooks
(Don't Fear) The Reaper (Single Version),Blue Öyster Cult,1976,Group,male,00:03:46,english,Bastien,new,20241015,2.217,halloween2024
(You're the) Devil in Disguise,Elvis Presley,1964,Person,male,00:02:20,english,Bea,new,20221101,2.006,"halloween,halloween2024"
9 to 5,Dolly Parton,1980,Person,female,00:02:42,english,Mischa,old,20220830,4.128,"regular,womens,pride"
99 Luftballons,Nena,1983,Person,female,00:03:52,german,Bastien,off,20230307,3.588,"regular,womens"
A Ghost,Travis,2020,Group,male,00:03:38,english,Mischa,new,20221101,2.295,halloween
A Horse With No Name,America,1971,Group,male,00:03:40,english,Bastien,new,20230704,2.685,usa
A Little Respect,Erasure,1988,Group,male,00:03:16,english,Mischa,new,20230620,2.699,pride
A Million Dreams,Ziv Zaifman/Hugh Jackman/Michelle Williams,2017,Person,duet,00:04:20,english,Mischa,new,,,
Accidentally in Love,Counting Crows,2004,Group,male,00:03:08,english,Mischa,old,20210914,2.196,"regular,valentines"
All I Wanna Do,Sheryl Crow,1994,Person,female,00:04:24,english,Mischa,new,,,
All I Want For Christmas Is You,Mariah Carey,1994,Person,female,00:03:54,english,Mischa,new,20221206,3.291,xmas
All Star,Smash Mouth,1999,Group,male,00:03:12,english,Bastien,new,20230905,4.312,
All The Small Things,Blink-182,1999,Group,male,00:02:47,english,Bastien,off,20211026,1.304,"regular,valentines"
All These Things That I've Done,The Killers,2004,Group,male,00:05:02,english,Annalisa,off,20220208,3.837,regular
Alright,Supergrass,1995,Group,male,00:03:01,english,Mischa,new,20220201,1.911,
Always Look on the Bright Side of Life,Monty Python,1979,Group,male,00:03:06,english,Mischa,old,20210907,3.053,
Angels,Robbie Williams,1997,Person,male,00:04:25,english,Mischa,old,20210914,3.692,"regular,valentines"
Anyone Else But You,The Moldy Peaches,2001,Group,duet,00:03:00,english,Bastien,old,20211005,0.959,"regular,valentines,pride"
Baby One More Time,Britney Spears,1998,Person,female,00:03:31,english,Mischa,old,20211102,3.673,"regular,valentines,womens,pride"
Back for Good,Take That,1995,Group,male,00:04:02,english,Mischa,old,20211005,3.042,valentines
Bad Moon Rising,Creedence Clearwater Revival,1969,Group,male,00:02:22,english,Mischa,old,20211005,0.981,"regular,halloween2024"
Basket Case,Green Day,2013,Group,male,00:03:01,english,Bastien,off,20230221,3.497,"regular,pride"
Bella Ciao,Fonola Band,1997,Group,male,00:02:00,italian,Mischa,new,20240514,3.217,monopolele
Beverly Hills,Weezer,2005,Group,male,00:03:10,english,Bastien,new,,3.14,
Big Yellow Taxi,Joni Mitchell,1970,Person,female,00:02:14,english,Mischa,old,20240507,3.313,regular
Bitch,Meredith Brooks,1997,Person,female,00:04:04,english,Bea,new,,2.62,
Black Horse And The Cherry Tree,KT Tunstall,2004,Person,female,00:02:50,english,Jeremie,new,,,
Blitzkrieg Bop,Ramones,1976,Group,male,00:02:14,english,Bastien,old,20210914,2.651,regular
